ERROR NR.:      1732; MESS:Data type is invalid for this property.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
; PROC:refresh; LINE:         6; ALIAS:COMUSERIDREMOTE recno: 9; VERSIA:EELARVE.EXE11.10.201818:04:28; KPV:12.10.2018 14:45:51;ERROR NR.:         9; MESS:Data type mismatch.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
; PROC:refresh; LINE:         1; ALIAS:COMUSERIDREMOTE recno: 9; VERSIA:EELARVE.EXE11.10.201818:04:28; KPV:12.10.2018 14:45:51;ERROR NR.:         9; MESS:Data type mismatch.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
; PROC:refresh; LINE:         2; ALIAS:COMUSERIDREMOTE recno: 9; VERSIA:EELARVE.EXE11.10.201818:04:28; KPV:12.10.2018 14:45:51;ERROR NR.:         9; MESS:Data type mismatch.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
; PROC:refresh; LINE:         1; ALIAS:COMUSERIDREMOTE recno: 9; VERSIA:EELARVE.EXE11.10.201818:04:28; KPV:12.10.2018 14:45:51;ERROR NR.:         9; MESS:Data type mismatch.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
; PROC:refresh; LINE:         2; ALIAS:COMUSERIDREMOTE recno: 9; VERSIA:EELARVE.EXE11.10.201818:04:28; KPV:12.10.2018 14:45:51;ERROR NR.:      1732; MESS:Data type is invalid for this property.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
; PROC:refresh; LINE:         6; ALIAS:COMUSERIDREMOTE recno: 9; VERSIA:EELARVE.EXE11.10.201818:04:28; KPV:12.10.2018 14:45:53;ERROR NR.:         9; MESS:Data type mismatch.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
; PROC:refresh; LINE:         1; ALIAS:COMUSERIDREMOTE recno: 9; VERSIA:EELARVE.EXE11.10.201818:04:28; KPV:12.10.2018 14:45:53;ERROR NR.:         9; MESS:Data type mismatch.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
; PROC:refresh; LINE:         2; ALIAS:COMUSERIDREMOTE recno: 9; VERSIA:EELARVE.EXE11.10.201818:04:28; KPV:12.10.2018 14:45:53;ERROR NR.:         9; MESS:Data type mismatch.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
; PROC:refresh; LINE:         1; ALIAS:COMUSERIDREMOTE recno: 9; VERSIA:EELARVE.EXE11.10.201818:04:28; KPV:12.10.2018 14:45:53;ERROR NR.:         9; MESS:Data type mismatch.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
; PROC:refresh; LINE:         2; ALIAS:COMUSERIDREMOTE recno: 9; VERSIA:EELARVE.EXE11.10.201818:04:28; KPV:12.10.2018 14:45:53;ERROR NR.:      1732; MESS:Data type is invalid for this property.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
; PROC:show; LINE:        14; ALIAS:COMUSERIDREMOTE recno: 9; VERSIA:EELARVE.EXE11.10.201818:04:28; KPV:12.10.2018 14:45:53;ERROR NR.:      1732; MESS:Data type is invalid for this property.; CODE:create cursor v_model from array _XMLArray_B8468283_C239_4DA8_B4B2_49FAD15EB656_
